disease,drug
Adrenal Insufficiency,dexamethasone
Adrenal Insufficiency,cortisone
Adrenocortical Insufficiency,hydrocortisone
Adrenocortical Insufficiency,prednisone
Adrenocortical Insufficiency,dexamethasone
Adrenocortical Insufficiency,triamcinolone
Adrenocortical Insufficiency,cosyntropin
Adrenogenital Syndrome,fludrocortisone
Adrenogenital Syndrome,prednisone
Adrenogenital Syndrome,dexamethasone
Adrenogenital Syndrome,methylprednisolone
Adult Human Growth Hormone Deficiency,somatropin
Still's Disease,anakinra
Still's Disease,tocilizumab
Still's Disease,etanercept
Still's Disease,anakinra
Still's Disease,tocilizumab
Still's Disease,etanercept
Atrial Fibrillation,digoxin
Atrial Fibrillation,metoprolol
Atrial Fibrillation,diltiazem
Atrial Fibrillation,flecainide
Atrial Fibrillation,sotalol
Atrial Fibrillation,carvedilol
Atrial Fibrillation,propafenone
Atrial Fibrillation,rivaroxaban
Atrial Fibrillation,dronedarone
Atrial Fibrillation,clonidine
Atrial Fibrillation,propranolol
Atrial Fibrillation,digoxin
Atrial Fibrillation,metoprolol
Atrial Fibrillation,diltiazem
Atrial Fibrillation,flecainide
Atrial Fibrillation,sotalol
Atrial Fibrillation,carvedilol
Atrial Fibrillation,propafenone
Atrial Fibrillation,rivaroxaban
Atrial Fibrillation,dronedarone
Atrial Fibrillation,clonidine
Atrial Fibrillation,propranolol
Trypanosomiasis,pentamidine
Trypanosomiasis,benznidazole
Aggressive Behavior,haloperidol
Agitated State,aripiprazole
Agitated State,olanzapine
Agitated State,loxapine
Agitation,risperidone
Agitation,olanzapine
Agitation,citalopram
Agitation,amitriptyline
Agitation,perphenazine
Agitation,loxapine
Myelofibrosis,ruxolitinib
Myelofibrosis,fedratinib
Agoraphobia,fluoxetine
Neutropenia,filgrastim
HIV Infection,lamivudine
HIV Infection,efavirenz
HIV Infection,emtricitabine
HIV Infection,tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine
HIV Infection,tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
AIDS Related Wasting,dronabinol
AIDS Related Wasting,megestrol
AIDS Related Wasting,somatropin
AIDS Related Wasting,dronabinol
AIDS Related Wasting,megestrol
AIDS Related Wasting,somatropin
AIDS Related Wasting,dronabinol
AIDS Related Wasting,megestrol
AIDS Related Wasting,somatropin
HIV Infection,lamivudine
HIV Infection,efavirenz
HIV Infection,emtricitabine
HIV Infection,tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine
HIV Infection,tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
Akathisia,propranolol
Alcohol Dependence,naltrexone
Alcohol Dependence,acamprosate
Alcohol Dependence,disulfiram
Alcohol Dependence,ondansetron
Alcoholism,gabapentin enacarbil
Alcohol Withdrawal,gabapentin
Alcohol Withdrawal,baclofen
Alcohol Withdrawal,chlordiazepoxide
Alcohol Withdrawal,diazepam
Alcohol Withdrawal,clonidine
Alcohol Withdrawal,atenolol
Alcohol Withdrawal,oxazepam
Alcohol Withdrawal,clorazepate
Alcohol Withdrawal,gabapentin
Alcohol Withdrawal,baclofen
Alcohol Withdrawal,chlordiazepoxide
Alcohol Withdrawal,diazepam
Alcohol Withdrawal,clonidine
Alcohol Withdrawal,atenolol
Alcohol Withdrawal,oxazepam
Alcohol Withdrawal,clorazepate
Alcoholic Liver Damage,propylthiouracil
Alcoholic Liver Damage,oxandrolone
Alcoholic Liver Damage,propylthiouracil
Alcoholic Liver Damage,oxandrolone
Alcoholic Liver Damage,propylthiouracil
Alcoholic Liver Damage,oxandrolone
Alcoholism,gabapentin enacarbil
Vaginal pH Imbalance,hydroxyquinoline
Alkalosis,ammonium chloride
Alkalosis,ammonium chloride
Alkylating Agent Cystitis,sodium bicarbonate
Alkylating Agent Cystitis,citric acid
Alkylating Agent Cystitis,sodium citrate
Acute Lymphocytic Leukemia,prednisone
Acute Lymphocytic Leukemia,vincristine
Acute Lymphocytic Leukemia,cyclophosphamide
Acute Lymphocytic Leukemia,methotrexate
Acute Lymphocytic Leukemia,asparaginase escherichia coli
Acute Lymphocytic Leukemia,daunorubicin
Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi
Acute Lymphocytic Leukemia,teniposide
Allergic Asthma,terbutaline
Allergic Asthma,salmeterol
"Conjunctivitis, Allergic",ketotifen
"Conjunctivitis, Allergic",azelastine
"Conjunctivitis, Allergic",cromolyn
"Conjunctivitis, Allergic",prednisone
"Conjunctivitis, Allergic",prednisolone
"Conjunctivitis, Allergic",epinastine
"Conjunctivitis, Allergic",nedocromil
"Conjunctivitis, Allergic",bepotastine
"Conjunctivitis, Allergic",cetirizine
"Conjunctivitis, Allergic",alcaftadine
"Conjunctivitis, Allergic",carbinoxamine
"Conjunctivitis, Allergic",doxylamine
Atopic Dermatitis,triamcinolone
Atopic Dermatitis,clobetasol
Atopic Dermatitis,betamethasone
Atopic Dermatitis,fluocinonide
Atopic Dermatitis,hydrocortisone
Atopic Dermatitis,tacrolimus
Atopic Dermatitis,prednisone
Atopic Dermatitis,mometasone
Atopic Dermatitis,desonide
Atopic Dermatitis,fluocinolone
Atopic Dermatitis,desoximetasone
Atopic Dermatitis,fluticasone
Atopic Dermatitis,methylprednisolone
Atopic Dermatitis,dexamethasone
Atopic Dermatitis,azathioprine
Allergic Reactions,diphenhydramine
Allergic Reactions,prednisone
Allergic Reactions,loratadine
Allergic Reactions,epinephrine
Allergic Reactions,chlorpheniramine
Allergic Reactions,promethazine
Allergic Reactions,triamcinolone
Allergic Reactions,cyproheptadine
Allergic Reactions,diphenhydramine
Allergic Reactions,prednisone
Allergic Reactions,loratadine
Allergic Reactions,epinephrine
Allergic Reactions,chlorpheniramine
Allergic Reactions,promethazine
Allergic Reactions,triamcinolone
Allergic Reactions,cyproheptadine
Allergic Rhinitis,cetirizine
Allergic Rhinitis,loratadine
Allergic Rhinitis,fluticasone
Allergic Rhinitis,montelukast
Allergic Rhinitis,fexofenadine
Allergic Rhinitis,azelastine
Allergic Rhinitis,diphenhydramine
Allergic Rhinitis,prednisone
Allergic Rhinitis,levocetirizine
Allergic Urticaria,hydroxyzine
Allergic Urticaria,famotidine
Allergic Urticaria,triprolidine
Allergic Urticaria,carbinoxamine
Allergic Urticaria,tetracaine
Allergies,hydroxyzine
Allergies,levocetirizine
Allergies,loratadine
Allergies,doxylamine
Allergies,corticotropin
Allergies,triprolidine
Allergies,dexbrompheniramine
Allergies,chlorpheniramine
Allergies,ibuprofen
Allergies,phenylephrine
Allergies,dexbrompheniramine
Allergies,phenylephrine
Allergies,hydroxyzine
Allergies,levocetirizine
Allergies,loratadine
Allergies,doxylamine
Allergies,corticotropin
Allergies,triprolidine
Allergies,dexbrompheniramine
Allergies,chlorpheniramine
Allergies,ibuprofen
Allergies,phenylephrine
Allergies,dexbrompheniramine
Allergies,phenylephrine
Alopecia,spironolactone
Alopecia,minoxidil
Alopecia,triamcinolone
Alopecia,sulfasalazine
Alopecia,spironolactone
Alopecia,minoxidil
Alopecia,triamcinolone
Alopecia,sulfasalazine
Thalassemia,hydroxyurea
Thalassemia,deferasirox
Thalassemia,deferiprone
Alpha-1 Proteinase Inhibitor Deficiency,alpha 1-proteinase inhibitor
Alpha-1 Proteinase Inhibitor Deficiency,alpha 1-proteinase inhibitor
Alport Syndrome,lisinopril
Alport Syndrome,losartan
Alport Syndrome,enalapril
Alport Syndrome,fosinopril
Alport Syndrome,candesartan
Alport Syndrome,quinapril
Amyotrophic Lateral Sclerosis,riluzole
Amyotrophic Lateral Sclerosis,edaravone
Soft Tissue Sarcoma,pazopanib
Soft Tissue Sarcoma,doxorubicin
Soft Tissue Sarcoma,methotrexate
Soft Tissue Sarcoma,trabectedin
Soft Tissue Sarcoma,olaratumab
Alzheimer's Disease,donepezil
Alzheimer's Disease,memantine
Alzheimer's Disease,galantamine
Alzheimer's Disease,rivastigmine
Alzheimer's Disease,vitamin e
Alzheimer's Disease,donepezil
Alzheimer's Disease,memantine
Alzheimer's Disease,ergoloid mesylates
Alzheimer's Disease,etanercept
Amebiasis,metronidazole
Amebiasis,tinidazole
Amebiasis,nitazoxanide
Amebiasis,doxycycline
Amebiasis,paromomycin
Amebiasis,chloroquine
Amebiasis,metronidazole
Amebiasis,tinidazole
Amebiasis,nitazoxanide
Amebiasis,doxycycline
Amebiasis,paromomycin
Amebiasis,chloroquine
Amenorrhea,medroxyprogesterone
Amenorrhea,progesterone
Amenorrhea,norethindrone
Amenorrhea,medroxyprogesterone
Amenorrhea,progesterone
Amenorrhea,norethindrone
Amenorrhea,medroxyprogesterone
Amenorrhea,progesterone
Amenorrhea,norethindrone
Trypanosomiasis,pentamidine
Trypanosomiasis,benznidazole
Acute Myeloid Leukemia,cytarabine
Acute Myeloid Leukemia,vincristine
Acute Myeloid Leukemia,daunorubicin
Acute Myeloid Leukemia,idarubicin
Acute Myeloid Leukemia,decitabine
Acute Myeloid Leukemia,gemtuzumab
Acute Myeloid Leukemia,midostaurin
Acute Myeloid Leukemia,venetoclax
Acute Myeloid Leukemia,enasidenib
Acute Myeloid Leukemia,cytarabine liposomal
Acute Myeloid Leukemia,daunorubicin liposomal
Acute Myeloid Leukemia,ivosidenib
Acute Myeloid Leukemia,gilteritinib
Acute Myeloid Leukemia,glasdegib
Amebiasis,metronidazole
Amebiasis,tinidazole
Amebiasis,nitazoxanide
Amebiasis,doxycycline
Amebiasis,paromomycin
Amebiasis,chloroquine
Amyloid Cardiomyopathy,tafamidis
Amyloidogenic Transthyretin Amyloidosis,inotersen
Amyloidogenic Transthyretin Amyloidosis,patisiran
Amyloidosis,colchicine
Amyloidosis,colchicine
Amyloidosis,colchicine
Amyotrophic Lateral Sclerosis,riluzole
Amyotrophic Lateral Sclerosis,edaravone
Aspiration Pneumonia,prednisone
Aspiration Pneumonia,clindamycin
Aspiration Pneumonia,amoxicillin
Aspiration Pneumonia,clavulanate
Aspiration Pneumonia,metronidazole
Aspiration Pneumonia,dexamethasone
Aspiration Pneumonia,lansoprazole
Aspiration Pneumonia,piperacillin
Aspiration Pneumonia,tazobactam
Aspiration Pneumonia,ampicillin
Aspiration Pneumonia,sulbactam
Aspiration Pneumonia,cefoxitin
Aspiration Pneumonia,cilastatin
Aspiration Pneumonia,imipenem
Anal Cancer,capecitabine
Anal Cancer,fluorouracil
Anal Cancer,mitomycin
Anal Cancer,cisplatin
Anal Fissure and Fistula,nitroglycerin
Anal Fissure and Fistula,nitroglycerin
Anal Fissure and Fistula,nitroglycerin
Fecal Incontinence,dextranomer
Fecal Incontinence,sodium hyaluronate
Anal Itching,hydrocortisone
Anal Itching,clobetasol
Anal Itching,lidocaine
Anal Itching,zinc oxide
Anal Itching,benzocaine
Anaphylaxis,epinephrine
Anaphylaxis,promethazine
Anaphylaxis,epinephrine
Anaphylaxis,promethazine
Anaphylaxis,epinephrine
Anaphylaxis,promethazine
Anaplastic Astrocytoma,temozolomide
Anaplastic Astrocytoma,procarbazine
Anaplastic Oligodendroglioma,temozolomide
Anaplastic Oligodendroglioma,vincristine
Anaplastic Oligodendroglioma,lomustine
Anaplastic Oligodendroglioma,procarbazine
Thyroid Cancer,thyroid desiccated
Thyroid Cancer,sodium iodide-i-131
Thyroid Cancer,sorafenib
Thyroid Cancer,lenvatinib
Thyroid Cancer,doxorubicin
Thyroid Cancer,cabozantinib
Thyroid Cancer,thyrotropin alpha
Thyroid Cancer,vandetanib
Thyroid Cancer,dabrafenib
Thyroid Cancer,trametinib
Hookworm Infection (Necator or Ancylostoma),mebendazole
Hookworm Infection (Necator or Ancylostoma),albendazole
Hookworm Infection (Necator or Ancylostoma),pyrantel
Cutaneous Larva Migrans,ivermectin
Cutaneous Larva Migrans,albendazole
Hookworm Infection (Necator or Ancylostoma),mebendazole
Hookworm Infection (Necator or Ancylostoma),albendazole
Hookworm Infection (Necator or Ancylostoma),pyrantel
Dercum's Disease,fentanyl
Dercum's Disease,pregabalin
Androgenetic Alopecia,finasteride
Androgenetic Alopecia,ketoconazole
Anemia,epoetin alfa
Anemia,multivitamin with iron
Anemia,pyridoxine
Anemia,oxymetholone
Anemia,lenalidomide
Anemia Associated with Chronic Renal Failure,ferrous sulfate
Anemia Associated with Chronic Renal Failure,epoetin alfa
Anemia Associated with Chronic Renal Failure,ferrous fumarate
Anemia Associated with Chronic Renal Failure,darbepoetin alfa
Anemia Associated with Chronic Renal Failure,ferrous gluconate
Anemia Associated with Chronic Renal Failure,epoetin beta-methoxy polyethylene glycol
Anemia Associated with Iron Deficiency,ferrous fumarate
Anemia Associated with Iron Deficiency,folic acid
"Anemia, Drug Induced",epoetin alfa
Anemia Prior to Surgery,epoetin alfa
"Anemia, Chemotherapy Induced",epoetin alfa
"Anemia, Chemotherapy Induced",darbepoetin alfa
"Anemia, Drug Induced",epoetin alfa
"Anemia, Drug Induced",epoetin alfa
Iron Deficiency Anemia,ferrous sulfate
Iron Deficiency Anemia,ferrous gluconate
Iron Deficiency Anemia,ferrous fumarate
Iron Deficiency Anemia,iron polysaccharide
Iron Deficiency Anemia,ferumoxytol
Iron Deficiency Anemia,iron sucrose
"Anemia, Megaloblastic",folic acid
"Anemia, Megaloblastic",leucovorin
"Anemia, Sickle Cell",hydroxyurea
"Anemia, Sickle Cell",vitamin e
"Anemia, Sickle Cell",glutamine
"Anemia, Sickle Cell",crizanlizumab
Anesthesia,propofol
Anesthesia,lidocaine
Anesthesia,fentanyl
Anesthesia,lidocaine
Anesthesia,prilocaine
Anesthesia,ketamine
Anesthesia,succinylcholine
Anesthesia,glycopyrrolate
Anesthesia,lidocaine
Anesthesia,rocuronium
Anesthesia,etomidate
Anesthesia,vecuronium
Anesthesia,hyoscyamine
Anesthesia,cisatracurium
Anesthetic Adjunct,hydromorphone
Anesthetic Adjunct,fentanyl
Anesthetic Adjunct,atracurium
Anesthetic Adjunct,butorphanol
Anesthetic Adjunct,methohexital
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine
Angina,atorvastatin
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine
Angina,atorvastatin
Angina Pectoris Prophylaxis,isosorbide mononitrate
